[ost_a.smc]
9B: jc_battle; Battle ~ Drill; Jade Cocoon; Kimitaka Matsumae; Gi Nattak; Dehadin
9C: rs3_king; Year of the Holy King; Romancing Saga 3; Kenji Ito; JCE3000GT; SPC injection
9D: ff4_boss; Boss Theme; Final Fantasy IV; Nobuo Uematsu; MetroidQuest; N/A
9E: rs_city; Crystal City; Romancing Saga; Kenji Ito; Gi Nattak; Marine
9F: dq7_days; Days of Sadness; Dragon Quest VII; Koichi Sugiyama; Gi Nattak; Chronoboricua
A0: ff7_fight_further; Those Who Fight Further; Final Fantasy VII; Nobuo Uematsu; Jackimus; Jackimus
A1: skd_reminiscence; Reminiscence Ensemble Version; Suikoden II; Miki Higashino, Keiko Fukami; Gi Nattak; Daniel Marjenburgh
A2: ff6_overture_2; Overture 2; Final Fantasy VI; Nobuo Uematsu; N/A; N/A
A3: sm3_airships; Airships; Super Mario 3; Koji Kondo; Gi Nattak; Isaiah K.
A4: sw_cantina; Cantina; Star Wars; John Williams; Gi Nattak; unknown
A5: ff8_machine_gun; The Man With The Machine Gun; Final Fantasy VIII; Nobuo Uematsu; Jackimus; Jackimus
A6: iog_dream; Will's Dream; Illusion of Gaia; Yasuhiro Kawasaki; Gi Nattak; Jeff Daily
A7: bl_campbell; Green Land Campbell; Bahamut Lagoon; Noriko Matsueda; Gi Nattak; mfvitools
A8: smrpg_mallow; Mallow Finds Out He Is Not A Tadpole; Super Mario RPG; Yoko Shimomura; Gi Nattak; mfvitools
A9: ob_wall; Wall of Defense; Ogre Battle; Masaharu Iwata, Hitoshi Sakimoto; Gi Nattak; Rize
AA: shfc2_goddess; Water Goddess Mitula; Shining Force II; Motoaki Takenouchi; Gi Nattak; Johnnyz
AB: ct_lavos; Lavos Core; Chrono Trigger; Yasunori Mitsuda; Gi Nattak; Velduanga
AC: mmpr_city; Stage 1, City; Mighty Morphin Power Rangers; Kinuyo Yamashita, Iku Mizutani; Gi Nattak; Blue Warrior
AF: rs_beat; Beat Them Up!; Romancing Saga; Kenji Ito; Gi Nattak; Marine
B0: sf2_vega; Vega's Theme; Street Fighter II; Yoko Shimomura; Gi Nattak; Steve1
B1: rs2_heroes; Seven Heroes Battle; Romancing Saga 2; Kenji Ito; Gi Nattak; Marine
B2: ffx_yuna; Yuna's Decision; Final Fantasy X; Nobuo Uematsu; Gi Nattak; Jugon
B3: udt_bonetrousle; Bonetrousle; Undertale; Toby Fox; Gi Nattak; Lu9
B4: shfc_sad; Sad Theme; Shining Force; Motoaki Takenouchi; Gi Nattak; Johnnyz
B5: smrpg_sewers; Kero Sewers; Super Mario RPG; Yoko Shimomura; Gi Nattak; mfvitools
B6: ff4_world; Somewhere in the World; Final Fantasy IV; Nobuo Uematsu; Gi Nattak; unknown
BB: ff3_cloud; Cloud of Darkness; Final Fantasy III; Nobuo Uematsu; Gi Nattak; Andrew Thompson
BC: pq_lullaby; Godom Lullaby; Paladin's Quest; Kohei Tanaka; Gi Nattak; Pteryx
BD: som_oracle; Oracle; Secret of Mana; Hiroki Kikuta; Gi Nattak; FF5→FF6 MCS2
BE: som_dance; Meridian Dance; Secret of Mana; Hiroki Kikuta; Gi Nattak; FF5→FF6 MCS2
BF: ff4_dreadful; Dreadful Battle; Final Fantasy IV; Nobuo Uematsu; Tsushiy; unknown
C0: ff5_decisive; The Decisive Battle; Final Fantasy V; Nobuo Uematsu; Gi Nattak; FF5→FF6 MCS2
C1: rsms_prelude; Prelude to Battle; Romancing Saga Minstrel Song; Kenji Ito; Gi Nattak; Hira
C2: rs2_last; Last Battle; Romancing Saga 2; Kenji Ito; Gi Nattak; RMSephy
C3: ct_battle_2; Unused Battle 2; Chrono Trigger; Yasunori Mitsuda; MetroidQuest; SPC injection
C4: alundra_dust; Dust to Dust; Alundra; Kohei Tanaka; Gi Nattak; CronosGeo
C5: ff5_boss; Boss Theme; Final Fantasy V; Nobuo Uematsu; Gi Nattak; FF5→FF6 MCS2
C6: swom_victory; Believe in Victory; Sword of Mana; Kenji Ito; Gi Nattak; Black_Wing
C7: q2_rage; Rage; Quake II; Sascha Dikiciyan; Gi Nattak; Jay Reichard
C8: ct_boss2; Boss Battle 2; Chrono Trigger; Yasunori Mitsuda; Gi Nattak; unknown
C9: kh_forze; Forze Del Male; Kingdom Hearts; Yoko Shimomura; Gi Nattak; Marlin Exton
CA: ff7_jenova; J-E-N-O-V-A; Final Fantasy VII; Nobuo Uematsu; Jackimus; Jackimus
CB: ff9_boss; Boss Battle; Final Fantasy IX; Nobuo Uematsu; Jackimus; Jackimus
