[ost_a.smc]
01: bof2_counter; Cross Counter; Breath of Fire 2; Yuko Takehara; emberling
02: ff12_power; Lust for Power; Final Fantasy XII; Hayato Matsuo; emberling
03: top_curtain; Raising a Curtain; Tales of Phantasia; Motoi Sakuraba, Shinji Tamura; emberling
05: ffmq_shrine; Shrine of Light; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; emberling
06: ebrk_bells; The Prayer Bells do not Toll; Energy Breaker; Yasunori Shiono; Gi Nattak
07: ps2_mystery; Mystery; Phantasy Star 2; Tokuhiko Uwabo; Gi Nattak
08: ff9_gargan_roo; Gargan Roo; Final Fantasy IX; Nobuo Uematsu; emberling
09: ct_chest; Sealed Chest; Chrono Trigger; Yasunori Mitsuda; Gi Nattak
0A: fe_doors; Doors of Destiny; Fire Emblem: Genealogy of the Holy War; Yuka Tsujiyoko; Gi Nattak
0B: ff7_town; Mining Town; Final Fantasy VII; Nobuo Uematsu; emberling
0C: totr_city; Underwater City; Treasure of the Rudra; Ryuji Sasai; Gi Nattak
0D: tod_fangs; Bared Fangs; Tales of Destiny; Motoi Sakuraba; Gi Nattak
0E: lal_speech; Uranus' Speech; Live A Live; Yoko Shimomura; Gi Nattak
0F: swon_chain; Chain of Fate; Sword of Mana; Kenji Ito; Gi Nattak
10: potc_pirate; He's a Pirate!; Pirate's of the Caribbean; Klaus Badelt, Hans Zimmer; Jackimus
11: wcr2_orc1; Orc 1; Warcraft 2; Glenn Stafford; emberling
12: ff4_calcobrena; Dancing Calcobrena; Final Fantasy IV; Nobuo Uematsu; emberling
13: crstl_fields; Wild Fields; Crystalis; Yoko Osaka; emberling
14: rs_coup; Coup de Grace; Romancing Saga; Kenji Ito; Gi Nattak
15: ffmq_rock; Rock Theme; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; emberling
16: fmgh_nature; Nature; Front Mission: Gun Hazard; N. Uematsu, Y. Mitsuda, J. Nakano, M. Hamauzu; Gi Nattak
